pT,acc,classifier,blur
15.074355125427246,0.9148537516593933,Latent Space Pooled Hybrid Classifier,0.1
15.09165096282959,0.7995414137840271,Latent Space Pooled Hybrid Classifier,0.1
15.118319511413574,0.938748836517334,Latent Space Pooled Hybrid Classifier,0.1
15.191012382507324,0.8712406158447266,Latent Space Pooled Hybrid Classifier,0.1
15.198949813842773,0.8920924067497253,Latent Space Pooled Hybrid Classifier,0.1
15.201188087463379,0.9259603023529053,Latent Space Pooled Hybrid Classifier,0.1
15.221257209777832,0.9326408505439758,Latent Space Pooled Hybrid Classifier,0.1
15.278371810913086,0.8751856684684753,Latent Space Pooled Hybrid Classifier,0.1
15.443994522094727,0.10403305292129517,Latent Space Pooled Hybrid Classifier,0.1
15.465372085571289,0.9114313721656799,Latent Space Pooled Hybrid Classifier,0.1
