epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
88,0.5612705097456646,0.70895,0.7732437508336535,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
89,0.5571610208149929,0.71125,0.7733281319954589,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
90,0.5573154108919156,0.7102,0.7734057303661679,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
91,0.5605477713475562,0.70735,0.7734622574159389,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
92,0.5584474321763226,0.7079,0.7735013630869936,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
93,0.5536316804065826,0.71435,0.7736114476595765,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
94,0.5592200845290142,0.7085,0.7736581091145244,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
95,0.5503002986027177,0.71705,0.7738102981356557,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
96,0.5893606987728435,0.683,0.7734880622725223,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
97,0.5630972909319932,0.70275,0.7734843849684682,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
98,0.554234553674224,0.71095,0.7735926517683802,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
99,0.5550825106110543,0.7096,0.7736929851473318,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
100,0.563145616631599,0.70485,0.7736898559328578,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
