pT,general classifier proportion,label,classifier,blur
19.44391441345215,0.65696603,1.0,Latent Space Pooled Hybrid Classifier,0.1
35.76717758178711,0.71473455,1.0,Latent Space Pooled Hybrid Classifier,0.1
33.4777717590332,0.7130114,1.0,Latent Space Pooled Hybrid Classifier,0.1
57.57083511352539,0.8034773,1.0,Latent Space Pooled Hybrid Classifier,0.1
42.3606071472168,0.75854063,0.0,Latent Space Pooled Hybrid Classifier,0.1
26.978483200073242,0.6962049,1.0,Latent Space Pooled Hybrid Classifier,0.1
46.7599983215332,0.77715707,1.0,Latent Space Pooled Hybrid Classifier,0.1
27.91143035888672,0.70191973,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.16192626953125,0.7196782,0.0,Latent Space Pooled Hybrid Classifier,0.1
36.043006896972656,0.71820116,0.0,Latent Space Pooled Hybrid Classifier,0.1
42.29147720336914,0.75844103,0.0,Latent Space Pooled Hybrid Classifier,0.1
27.95037269592285,0.70218486,0.0,Latent Space Pooled Hybrid Classifier,0.1
35.90465545654297,0.71645886,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.653255462646484,0.72806036,1.0,Latent Space Pooled Hybrid Classifier,0.1
32.83991622924805,0.7200062,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.476749420166016,0.72488683,1.0,Latent Space Pooled Hybrid Classifier,0.1
30.12134552001953,0.7164478,1.0,Latent Space Pooled Hybrid Classifier,0.1
39.63600540161133,0.7492712,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.48084259033203,0.7249649,0.0,Latent Space Pooled Hybrid Classifier,0.1
45.99959182739258,0.77401304,0.0,Latent Space Pooled Hybrid Classifier,0.1
51.500511169433594,0.8019328,0.0,Latent Space Pooled Hybrid Classifier,0.1
28.330202102661133,0.7079637,0.0,Latent Space Pooled Hybrid Classifier,0.1
36.019561767578125,0.7179063,1.0,Latent Space Pooled Hybrid Classifier,0.1
30.656164169311523,0.71784014,1.0,Latent Space Pooled Hybrid Classifier,0.1
35.35273361206055,0.7102203,1.0,Latent Space Pooled Hybrid Classifier,0.1
28.739961624145508,0.7122786,0.0,Latent Space Pooled Hybrid Classifier,0.1
51.845130920410156,0.8020907,0.0,Latent Space Pooled Hybrid Classifier,0.1
42.27903366088867,0.7584232,0.0,Latent Space Pooled Hybrid Classifier,0.1
21.167736053466797,0.6684228,0.0,Latent Space Pooled Hybrid Classifier,0.1
35.65558624267578,0.71334165,1.0,Latent Space Pooled Hybrid Classifier,0.1
43.40813446044922,0.7614458,0.0,Latent Space Pooled Hybrid Classifier,0.1
28.06207275390625,0.70275867,1.0,Latent Space Pooled Hybrid Classifier,0.1
48.459022521972656,0.7928275,1.0,Latent Space Pooled Hybrid Classifier,0.1
40.33098602294922,0.7510169,1.0,Latent Space Pooled Hybrid Classifier,0.1
51.00849533081055,0.8017247,0.0,Latent Space Pooled Hybrid Classifier,0.1
34.60634231567383,0.70702827,0.0,Latent Space Pooled Hybrid Classifier,0.1
41.8098258972168,0.75764996,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.58476257324219,0.73831815,0.0,Latent Space Pooled Hybrid Classifier,0.1
15.8667631149292,0.6415653,1.0,Latent Space Pooled Hybrid Classifier,0.1
29.87726593017578,0.7163236,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.85221481323242,0.74027574,1.0,Latent Space Pooled Hybrid Classifier,0.1
38.416229248046875,0.7419509,1.0,Latent Space Pooled Hybrid Classifier,0.1
43.52215576171875,0.7612168,0.0,Latent Space Pooled Hybrid Classifier,0.1
13.7606201171875,0.63351935,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.11955642700195,0.7323656,1.0,Latent Space Pooled Hybrid Classifier,0.1
16.973588943481445,0.64576226,0.0,Latent Space Pooled Hybrid Classifier,0.1
38.53608703613281,0.741399,0.0,Latent Space Pooled Hybrid Classifier,0.1
29.66387176513672,0.7165311,1.0,Latent Space Pooled Hybrid Classifier,0.1
38.793922424316406,0.7436604,1.0,Latent Space Pooled Hybrid Classifier,0.1
57.603477478027344,0.80357504,0.0,Latent Space Pooled Hybrid Classifier,0.1
48.6387939453125,0.794403,1.0,Latent Space Pooled Hybrid Classifier,0.1
31.534820556640625,0.7243726,0.0,Latent Space Pooled Hybrid Classifier,0.1
31.97073745727539,0.72309846,0.0,Latent Space Pooled Hybrid Classifier,0.1
40.68988800048828,0.7541251,1.0,Latent Space Pooled Hybrid Classifier,0.1
42.56555938720703,0.7588352,1.0,Latent Space Pooled Hybrid Classifier,0.1
