epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference
71,0.6326871141791344,0.6265,0.6807977710229792,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
72,0.6446915939450264,0.61925,0.6806885730159561,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
73,0.6414582002907991,0.62125,0.6807234419013465,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
74,0.6418534852564335,0.6185,0.6806208681594361,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
75,0.6376252621412277,0.6275,0.6806665754874912,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
76,0.6453954242169857,0.613,0.6805041240760522,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
77,0.6473832614719868,0.6225,0.6803514507303734,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
78,0.6492054797708988,0.629,0.6802869518722222,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
79,0.6400132961571217,0.6235,0.680265441707733,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
80,0.6439155340194702,0.618,0.680159437985122,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
81,0.6337780058383942,0.632,0.6802396284535329,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
82,0.6508423984050751,0.63175,0.6801928053094369,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
83,0.6419334709644318,0.618,0.6801156261921301,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
84,0.6463955529034138,0.62025,0.6800643347811094,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
85,0.6512699481099844,0.616,0.6798103567792014,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
86,0.6558072157204151,0.60975,0.6795403462810365,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
87,0.6490712929517031,0.60875,0.6793791420957087,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
88,0.6435652542859316,0.61375,0.6793046461398995,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
89,0.651088060811162,0.612,0.6791527934086834,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
90,0.6414252668619156,0.6125,0.6790340734348902,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
91,0.6409082245081663,0.61675,0.679005354303765,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
92,0.6440386567264795,0.62025,0.6789721454043006,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
93,0.6564825009554625,0.59725,0.6786652232564836,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
94,0.646613797172904,0.61625,0.6786046993577869,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
95,0.6631065271794796,0.6005,0.67828705428942,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
96,0.650722062215209,0.61975,0.6781743847959449,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
97,0.6440680101513863,0.6155,0.6781575359922876,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
98,0.6356687676161528,0.6235,0.6782662592485581,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
99,0.6473136767745018,0.618,0.6781983866619637,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
100,0.6453650519251823,0.6305,0.6781410514044902,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
