id_0,mother1_0,mother2_0,color1_0,color2_0,px_0,py_0,pz_0,energy_0,mass_0,lifetime_0,spin_0,id_1,mother1_1,mother2_1,color1_1,color2_1,px_1,py_1,pz_1,energy_1,mass_1,lifetime_1,spin_1,n,muon_inv_mass,pT
-13.0,3.0,3.0,0.0,0.0,-37.470106165,-8.1674789722,-40.724357769,55.939162351,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,37.470106165,8.1674789722,-153.58136252,158.29703561,0.0,0.0,1.0,5,90.23544525161756,38.349922669774706
-13.0,3.0,3.0,0.0,0.0,-13.793891351,12.492238905,-94.446633213,96.262630324,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,13.793891351,-12.492238905,12.089947183,22.192212471,0.0,0.0,1.0,5,85.14062513127425,18.609875643399345
-13.0,3.0,3.0,0.0,0.0,-5.9457417185,-34.338957485,-140.39818076,144.65878821,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,5.9457417185,34.338957485,-27.698132039,44.516315708,0.0,0.0,-1.0,5,86.78046765123392,34.84990452985129
-13.0,3.0,3.0,0.0,0.0,29.966783785,-14.10958825,45.892531521,56.596935079,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-29.966783785,14.10958825,-27.107658885,42.800861922,0.0,0.0,1.0,5,97.60661150096986,33.12232798281964
-13.0,3.0,3.0,0.0,0.0,18.023077311,-15.449756805,23.681167087,33.530940572,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-18.023077311,15.449756805,-58.569793516,63.197682027,0.0,0.0,-1.0,5,90.21757132508866,23.738708917966175
-13.0,3.0,3.0,0.0,0.0,-35.956455076,26.509926046,100.15514005,109.66628889,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,35.956455076,-26.509926046,160.40448383,166.50898256,0.0,0.0,-1.0,5,91.55033022329356,44.67261846586559
-13.0,3.0,3.0,0.0,0.0,-2.6941856124,46.322069674,-109.7812594,119.18438526,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,2.6941856124,-46.322069674,-82.09727265,94.302465247,0.0,0.0,1.0,5,93.59094121620579,46.40035317750257
-13.0,3.0,3.0,0.0,0.0,-2.4729789083,-46.353773951,-175.22258298,181.26704491,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,2.4729789083,46.353773951,-156.69932055,163.43030638,0.0,0.0,-1.0,5,92.97372716721131,46.41969392597611
-13.0,3.0,3.0,0.0,0.0,33.512804113,-23.644395703,12.001788165,42.734159718,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-33.512804113,23.644395703,-28.241620422,49.797134573,0.0,0.0,1.0,5,91.09505075157568,41.01421080157894
-13.0,3.0,3.0,0.0,0.0,4.7876659506,34.581640713,107.59579876,113.11793638,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-4.7876659506,-34.581640713,18.435098915,39.479925173,0.0,0.0,-1.0,5,86.03673739619742,34.911482633333605
-13.0,3.0,3.0,0.0,0.0,12.757708123,1.2861070271,-35.137644836,37.404107695,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-12.757708123,-1.2861070271,49.875434104,51.497302015,0.0,0.0,-1.0,5,87.67130782597752,12.822370601289615
-13.0,3.0,3.0,0.0,0.0,-25.424904056,-32.393959324,136.67765597,142.74654458,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,25.424904056,32.393959324,45.300369317,61.220240176,0.0,0.0,-1.0,5,92.12191702491018,41.18002363940278
-13.0,3.0,3.0,0.0,0.0,-31.064988802,-4.6676340603,-15.545931028,35.049911677,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,31.064988802,4.6676340603,54.825162267,63.187172389,0.0,0.0,-1.0,5,90.0425825877041,31.413696646355678
-13.0,3.0,3.0,0.0,0.0,44.064834622,4.7989725229,-186.12648405,191.33166976,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-44.064834622,-4.7989725229,-145.89283319,152.47773137,0.0,0.0,1.0,5,89.26408731877282,44.3253853625635
-13.0,3.0,3.0,0.0,0.0,-13.131064266,-33.939048187,7.565383799,37.168788959,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,13.131064266,33.939048187,-59.777986003,69.983508423,0.0,0.0,-1.0,5,93.57060973044591,36.39071091085375
-13.0,3.0,3.0,0.0,0.0,-34.050250531,-27.556924115,-9.3996822932,44.801313096,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,34.050250531,27.556924115,-0.28579879416,43.80508314,0.0,0.0,1.0,5,88.07545009840952,43.80415080678696
-13.0,3.0,3.0,0.0,0.0,-40.846568812,14.419125694,-50.153871941,66.270387355,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,40.846568812,-14.419125694,-13.136534942,45.26501872,0.0,0.0,-1.0,5,91.8393772022625,43.31689473511256
-13.0,3.0,3.0,0.0,0.0,8.375325001,41.946301009,-5.026363178,43.068579777,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-8.375325001,-41.946301009,25.79043745,49.947821785,0.0,0.0,1.0,5,90.6692019330164,42.77427073849431
-13.0,3.0,3.0,0.0,0.0,23.589817346,-26.285267514,-11.912637269,37.273391279,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-23.589817346,26.285267514,-105.70112367,111.4456025,0.0,0.0,-1.0,5,91.01836269908398,35.318476336050885
-13.0,3.0,3.0,0.0,0.0,-13.028105708,-8.993827549,-64.55243665,66.465310875,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,13.028105708,8.993827549,28.305383461,32.431700621,0.0,0.0,-1.0,5,92.01505321388323,15.83099719916511
-13.0,3.0,3.0,0.0,0.0,20.809561417,22.894859693,-15.021310721,34.392618721,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-20.809561417,-22.894859693,-112.03920122,116.2325043,0.0,0.0,1.0,5,80.89223689812503,30.938850119712775
-13.0,3.0,3.0,0.0,0.0,0.06344373278,43.956051307,-31.916868064,54.321496101,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-0.06344373278,-43.956051307,-14.715520565,46.353910484,0.0,0.0,1.0,5,89.22419975437701,43.95609709256323
-13.0,3.0,3.0,0.0,0.0,-22.699821889,19.1373777,149.54245702,152.46136426,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,22.699821889,-19.1373777,9.013710143,31.028504791,0.0,0.0,1.0,5,92.34973686444339,29.690421671387234
-13.0,3.0,3.0,0.0,0.0,34.79445699,20.085595458,-45.047989166,60.360638748,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-34.79445699,-20.085595458,-139.44786263,145.11992205,0.0,0.0,-1.0,5,90.46292907002832,40.17568147687591
-13.0,3.0,3.0,0.0,0.0,15.970090862,37.624105512,73.155269047,83.799227365,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-15.970090862,-37.624105512,214.7646579,218.61947626,0.0,0.0,-1.0,5,92.51587955080869,40.87318335680064
-13.0,3.0,3.0,0.0,0.0,-40.94073962,-1.3808584653,-193.1351788,197.43162923,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,40.94073962,1.3808584653,-70.085418092,81.178918198,0.0,0.0,1.0,5,91.31678109717338,40.96401995329351
-13.0,1.0,2.0,0.0,0.0,-61.701971351,13.381564318,255.77084685,263.448146,0.0,0.0,-1.0,13.0,1.0,2.0,0.0,0.0,61.701971351,-13.381564318,183.51503283,194.07206602,0.0,0.0,1.0,4,127.87752077904214,63.1363566591896
-13.0,3.0,3.0,0.0,0.0,-5.028165481,-28.165912549,-4.4005872733,28.947646643,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,5.028165481,28.165912549,-104.77524255,108.61147512,0.0,0.0,1.0,5,83.6848263581977,28.61120545908955
-13.0,3.0,3.0,0.0,0.0,18.828949339,-10.33897056,-112.55528652,114.58671899,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-18.828949339,10.33897056,3.9794396246,21.846271654,0.0,0.0,-1.0,5,82.61504951891304,21.480773855966532
-13.0,3.0,3.0,0.0,0.0,-48.82960192,8.3750906008,28.306768481,57.05913869,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,48.82960192,-8.3750906008,51.215124242,71.256305808,0.0,0.0,-1.0,5,100.70313736160851,49.542629787257724
-13.0,3.0,3.0,0.0,0.0,9.2405687398,40.010244355,59.491531662,72.287274838,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-9.2405687398,-40.010244355,9.1938161213,42.080090528,0.0,0.0,-1.0,5,91.44515985358254,41.06346020468536
-13.0,3.0,3.0,0.0,0.0,-44.688592254,3.2572272374,-62.41181447,76.830426215,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,44.688592254,-3.2572272374,-90.407375476,100.90180052,0.0,0.0,-1.0,5,90.74711898693984,44.80714013324583
-13.0,3.0,3.0,0.0,0.0,-9.2372607788,30.689502483,14.063483786,34.999344645,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,9.2372607788,-30.689502483,168.76522812,171.78147389,0.0,0.0,-1.0,5,96.60211704097101,32.049532747758114
-13.0,3.0,3.0,0.0,0.0,32.079110144,15.132531233,-0.95539987286,35.482046137,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-32.079110144,-15.132531233,69.398181223,77.936964056,0.0,0.0,-1.0,5,90.44035357193583,35.46918111753644
