epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
91,0.5639738368380601,0.7051,0.7727527897959704,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
92,0.5604997184246209,0.70685,0.7728051770465879,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
93,0.5611236505447679,0.70795,0.7728507135981404,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
94,0.5579620041664998,0.7076,0.7729273742787159,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
95,0.5583689226086732,0.70705,0.772973739989363,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
96,0.5843255424955088,0.6811,0.7727239443702989,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
97,0.5602855391942771,0.70965,0.7727704357826659,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
98,0.5596339294485225,0.713,0.7728411780426334,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
99,0.5586862112306485,0.71025,0.7729154985920121,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
100,0.5585469552286112,0.7104,0.7729982175281183,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
